product_id,category,metal,gem,transaction_lines,units,orders,revenue,avg_item_price
1806829191514031042,Unknown,gold,mix,89,89,88,247480.52,2780.68
1956663836668854462,Unknown,gold,Unknown,97,97,95,219755.44,2265.52
1956663836668854461,Unknown,gold,mix,160,160,159,201361.6,1258.51
1956663847708262860,Unknown,gold,mix,107,107,107,184792.21,1727.03
1313614230015967859,Earring,gold,diamond,170,170,170,153674.9,903.9699999999999
1956663831425974504,Unknown,gold,mix,113,113,111,153430.27,1357.79
1956663831375642763,Ring,gold,diamond,133,133,129,135714.53,1020.41
1515966223500113689,Ring,gold,mix,5,5,5,132122.6,26424.52
1944945390285488528,Ring,gold,diamond,230,230,221,122845.3,534.11
1956663846449972073,Unknown,gold,Unknown,146,146,146,121057.36,829.16
1956663845787271453,Unknown,gold,Unknown,260,260,258,115947.0,445.95
1956663836769517900,Ring,gold,diamond,202,202,187,113425.02,561.51
1937902773722939556,Earring,gold,diamond,131,131,131,112139.93,856.03
1956663840242401751,Ring,gold,Unknown,428,428,301,111267.16000000002,259.97
1956663845678219397,Ring,gold,diamond,109,109,104,111224.69,1020.41
1956663847473381494,Ring,gold,diamond,137,137,128,109768.51000000001,801.23
1956663830763274548,Bracelet,gold,fianit,91,91,89,108813.25,1195.75
1956663847725040099,Ring,gold,Unknown,526,526,362,105436.7,200.45
1956663848186413865,Ring,gold,diamond,109,109,103,100026.03,917.67
1956663845644664920,Ring,gold,diamond,226,226,177,97489.62,431.37
1956663847859258014,Unknown,gold,Unknown,185,185,184,96829.0,523.4
1956663836433974134,Ring,gold,diamond,64,64,61,95114.24,1486.16
1956663845736939733,Ring,gold,fianit,250,250,221,86952.5,347.81
1956663846424806221,Unknown,gold,Unknown,108,108,108,85483.08,791.51
1956663847683096999,Ring,gold,diamond,111,111,101,85135.89,766.99
1956663831283368958,Ring,gold,Unknown,348,348,253,84529.2,242.9
1944422271028298685,Ring,gold,diamond,163,163,154,80360.63,493.01000000000005
1352907200745439279,Ring,gold,Unknown,369,369,265,79386.65999999999,215.13999999999996
1956663831149151028,Earring,gold,diamond,44,44,44,77446.16,1760.14
1845870160691331313,Earring,gold,diamond,58,58,58,74279.44,1280.68
1956663831266591720,Unknown,gold,Unknown,150,150,150,73524.0,490.16
1956663836392031040,Earring,gold,diamond,55,55,55,71190.90000000001,1294.38
1956663836408808278,Unknown,gold,Unknown,71,71,71,71029.81999999999,1000.4199999999998
1956663840301122100,Ring,gold,diamond,92,92,82,70563.08,766.99
1956663845736939731,Unknown,gold,Unknown,56,56,56,69928.88,1248.73
1956663846349308653,Ring,gold,diamond,211,211,169,69340.93,328.62999999999994
1956663840225624514,Ring,gold,diamond,103,103,96,69123.3,671.1
1956663845703385257,Unknown,gold,Unknown,115,115,113,69078.2,600.68
1956663831274980341,Unknown,gold,Unknown,190,190,188,67051.0,352.9
1956663836811460995,Unknown,gold,Unknown,129,129,129,66717.51000000001,517.19
1838494071232921609,Earring,gold,topaz,34,34,34,66090.56,1943.84
1956663847666319760,Ring,gold,Unknown,350,350,266,66045.0,188.7
1924582891589731058,Ring,gold,Unknown,314,314,210,65880.34,209.81
1956663840292733482,Bracelet,gold,diamond,62,62,62,65813.62,1061.51
1956663836450751375,Ring,gold,Unknown,312,312,209,64724.399999999994,207.45
1956663845812437315,Ring,gold,diamond,37,37,36,63351.03,1712.19
1956663835997766036,Bracelet,gold,garnet,15,15,15,63041.1,4202.74
1956663847641153902,Bracelet,gold,diamond,15,15,15,61744.5,4116.3
1455088600633836104,Ring,gold,diamond,154,154,141,61156.48,397.12
1956663830821994899,Unknown,gold,Unknown,171,171,168,60545.97,354.07
1316788927981421112,Earring,gold,topaz,24,24,24,59174.88,2465.62
1956663836257813138,Earring,gold,diamond,77,77,77,59058.23,766.99
1956663831300145187,Ring,gold,Unknown,298,298,224,58029.53999999999,194.73
1515966222931786051,Ring,gold,diamond,99,99,94,57622.95,582.05
1806829194307436609,Bracelet,gold,Unknown,59,59,59,57267.76,970.64
1956663831291756567,Unknown,gold,Unknown,249,249,249,57222.69,229.81
1956663845485282183,Bracelet,gold,Unknown,71,71,71,55366.509999999995,779.81
1956663847498547354,Ring,gold,diamond,59,59,58,55354.98,938.22
1956663831300145180,Bracelet,gold,topaz,36,36,36,54734.76,1520.41
1956663846273811079,Ring,gold,diamond,170,170,143,54702.6,321.78
1956663830905881094,Earring,gold,diamond,33,33,33,54694.200000000004,1657.4
1860421116053422140,Ring,gold,diamond,81,81,73,54359.1,671.1
1515966223118007194,Bracelet,gold,garnet,18,18,18,53531.46,2973.97
1515966223258634297,Earring,gold,pearl,39,39,39,53531.399999999994,1372.6
1956663847800537675,Bracelet,gold,Unknown,103,103,102,52755.57000000001,512.19
1956663846198313520,Ring,gold,diamond,52,52,51,52348.92,1006.7099999999999
1956663836408808274,Ring,gold,Unknown,107,107,99,52312.299999999996,488.9
1956663846416417597,Ring,gold,diamond,40,40,39,52049.2,1301.23
1515966223117958739,Bracelet,gold,topaz,18,18,17,51978.06,2887.67
1956663847825703531,Earring,gold,garnet,45,45,45,51774.75,1150.55
1956663831207871376,Unknown,gold,Unknown,148,148,146,51136.96,345.52
1956663836165538361,Unknown,gold,Unknown,180,180,178,51085.8,283.81
1956663831082042071,Ring,gold,diamond,93,93,86,50946.329999999994,547.81
1956663845871157662,Ring,gold,diamond,44,44,42,50925.600000000006,1157.4
1956663847649542518,Unknown,gold,Unknown,39,39,39,50400.479999999996,1292.32
1926160653630832643,Unknown,gold,Unknown,33,33,33,49897.32,1512.04
1956663845585944582,Ring,gold,Unknown,288,288,209,49383.36,171.47
1956663848194802489,Ring,gold,Unknown,146,146,107,48650.12,333.22
1956663845527225267,Bracelet,gold,diamond,58,58,57,48457.840000000004,835.48
1956663846340920038,Ring,gold,diamond,44,44,43,47610.2,1082.05
1515966223423325087,Earring,gold,pearl,11,11,11,47179.44,4289.04
1515966222761523208,Ring,gold,diamond,55,55,53,46704.899999999994,849.18
1956663845627887683,Unknown,gold,Unknown,86,86,84,46291.22,538.27
1956663840309510725,Ring,gold,Unknown,346,346,274,46208.3,133.55
1313834218744185516,Necklace,gold,pearl,108,108,105,45848.159999999996,424.52
1313671196834792382,Earring,gold,diamond,89,89,89,45706.84,513.56
1956663845736939738,Ring,gold,diamond,79,79,74,45441.590000000004,575.21
1956663845569168363,Ring,gold,diamond,130,130,121,45393.4,349.18
1515966222969023419,Earring,gold,garnet,16,16,16,45282.24,2830.14
1810952596651770259,Necklace,gold,Unknown,38,38,38,45178.200000000004,1188.9
1956663845325898478,Ring,gold,Unknown,56,56,46,45123.68,805.78
1515966223412150184,Ring,gold,diamond,55,55,50,44821.149999999994,814.93
1313677630704189912,Earring,gold,diamond,65,65,65,44066.75,677.95
