event_time,order_id,product_id,quantity,category_id,category_code,brand_code,price,user_id,gender,color,metal,gem,line_revenue,order_date,year_month,category_name,price_band,is_exact_duplicate
2018-12-01 11:40:29+00:00,1924719191579951782,1842195256808833386,1,1806829201890738522,jewelry.earring,0.0,561.51,1515915625207851155,Unknown,red,gold,diamond,561.51,2018-12-01,2018-12,Earring,$500-$999,False
2018-12-01 17:38:31+00:00,1924899396621697920,1806829193678291446,1,1806829201848795479,Unknown,,212.14,1515915625071969944,Unknown,yellow,gold,Unknown,212.14,2018-12-01,2018-12,Unknown,$100-$249,False
2018-12-02 13:53:42+00:00,1925511016616034733,1842214461889315556,1,1806829201915904347,jewelry.pendant,1.0,54.66,1515915625048493557,f,white,gold,sapphire,54.66,2018-12-02,2018-12,Pendant,Under $100,False
2018-12-02 17:44:02+00:00,1925626951238681511,1835566849434059453,1,1806829201915904347,jewelry.pendant,0.0,88.9,1515915625207630915,f,red,gold,diamond,88.9,2018-12-02,2018-12,Pendant,Under $100,False
2018-12-02 21:30:19+00:00,1925740842841014667,1873936840742928865,1,1806829201924292956,jewelry.necklace,0.0,417.67,1515915625175329378,Unknown,red,gold,amethyst,417.67,2018-12-02,2018-12,Necklace,$250-$499,False
2018-12-02 22:09:34+00:00,1925760595336888995,1835566854827934449,1,1806829201890738522,jewelry.earring,1.0,102.27,1515915625234475782,Unknown,red,gold,Unknown,102.27,2018-12-02,2018-12,Earring,$100-$249,False
2018-12-02 22:09:34+00:00,1925760595336888995,1600021442638905547,1,1806829201890738522,jewelry.earring,0.0,150.55,1515915625234475782,Unknown,red,gold,diamond,150.55,2018-12-02,2018-12,Earring,$100-$249,False
2018-12-02 22:16:20+00:00,1925764002260976330,1835566854106513435,1,1806829201890738522,jewelry.earring,0.0,83.42,1515915625210832627,Unknown,white,gold,fianit,83.42,2018-12-02,2018-12,Earring,Under $100,False
2018-12-03 07:03:49+00:00,1926029494397698277,1811798112444875309,1,1806829201915904347,jewelry.pendant,2.0,60.27,1515915625234339329,f,red,gold,pearl,60.27,2018-12-03,2018-12,Pendant,Under $100,False
2018-12-03 09:48:34+00:00,1926112416450478161,1836278824443052965,1,1806829201890738522,jewelry.earring,1.0,217.4,1515915625081825388,Unknown,red,gold,diamond,217.4,2018-12-03,2018-12,Earring,$100-$249,False
2018-12-03 09:48:34+00:00,1926112416450478161,1877637299521454325,1,1806829201882349913,jewelry.ring,1.0,180.71,1515915625081825388,Unknown,white,gold,diamond,180.71,2018-12-03,2018-12,Ring,$100-$249,False
2018-12-03 09:48:34+00:00,1926112416450478161,1878338296032002102,1,1806829201941070173,jewelry.brooch,1.0,232.1,1515915625081825388,Unknown,red,gold,fianit,232.1,2018-12-03,2018-12,Brooch,$100-$249,False
2018-12-03 11:14:25+00:00,1926155622227640358,1839552194542568132,1,1806829201882349913,jewelry.ring,1.0,203.92,1515915625193362756,Unknown,yellow,gold,Unknown,203.92,2018-12-03,2018-12,Ring,$100-$249,False
2018-12-03 18:43:00+00:00,1926381405764321762,1807462768563979237,1,1806829201890738522,jewelry.earring,0.0,84.45,1515915625231936320,Unknown,white,gold,fianit,84.45,2018-12-03,2018-12,Earring,Under $100,False
2018-12-04 06:04:18+00:00,1926724314904658447,1839748293546999844,1,1806829201882349913,jewelry.ring,0.0,254.45,1515915625081825388,Unknown,red,gold,amethyst,254.45,2018-12-04,2018-12,Ring,$250-$499,False
2018-12-04 08:06:10+00:00,1926785654931325894,1838087960809964124,1,1806829201890738522,jewelry.earring,0.0,251.15,1515915625216376356,Unknown,red,gold,quartz,251.15,2018-12-04,2018-12,Earring,$250-$499,False
2018-12-04 12:40:48+00:00,1926923883428970549,1874395183001371437,1,1806829201882349913,jewelry.ring,1.0,154.88,1515915625216376356,Unknown,white,gold,diamond,154.88,2018-12-04,2018-12,Ring,$100-$249,True
2018-12-04 17:18:19+00:00,1927063562459546512,1836825742751564764,1,1806829201890738522,jewelry.earring,0.0,2171.1,1515915625183596165,Unknown,yellow,gold,topaz,2171.1,2018-12-04,2018-12,Earring,"$1,000+",False
2018-12-04 19:55:22+00:00,1927142607515812568,1807570270689427678,1,1806829201890738522,jewelry.earring,1.0,102.6,1515915625227195999,f,yellow,gold,garnet,102.6,2018-12-04,2018-12,Earring,$100-$249,False
